CROPPED AREA FOR MAJOR CROPS IN THE WESTERN REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
Amansie East,1,2.52,15.2,13.1,5.5,10,0,0,,,,,
 Amansie Central,1.1,2.35,14.2,11.1,7.5,8.8,0,0,,,,,
Amansie West,1,2.45,13.2,11.1,6.8,9.6,0,0.375,,,,,
Ejura Sekyedumase,1.18,2.7,12.2,15.65,4.5,8.6,1.35,0.32,,,,,
Sekyere West ,1.2,2.5,18.4,14.45,6.5,10.6,1.2,0,,,,,
Sekyere East,1.2,2.58,16.3,13.5,6.6,12,1.1700000000000002,0.4,,,,,
Afigya Sekyere,1.1,2.48,13.4,13,6.5,8.7,1.1,0,,,,,
Ahafo Ano North,1,2.95,16.2,12.6,6.6,10.6,0,0.545,,,,,
Ahafo Ano South,1.1,3.46,16.4,12.1,6.1,9.7,0,0,,,,,
Atwima Mponua,1.2,2.56,15.2,14,5.6,9.7,0,0,,,,,
Atwima Nwabiagya,1.2,2.95,16.3,11.5,5.2,9.8,0,0,,,,,
Ejusu Juaben,1,3.15,14.5,12.1,6.5,9.8,0,0,,,,,
Bosumtwe-Atwima-Kwanwoma,1,2.48,13.3,12.1,6.6,9.8,0,0.3,,,,,
Kwabre ,1.1,2.38,13.4,10.3,6.3919999999999995,10.5,0,0,,,,,
Offinso,1.2,2.54,15.3,14,6,10.4,1.1700000000000002,0.35,,,,,
Adansi North,1.1,2.58,16.3,11,5.5,10.2,0,0,,,,,
Obuasi Municipal (Adansi West),1,2.48,16.2,10.1,6,8.7,0,0,,,,,
Adansi  South (East),1,2.47,17.3,11.2,6.5,10.6,0,0,,,,,
Asante Akim North,1.2,2.58,18,12.7,7,10.5,0,0.4,,,,,
Asante Akim South,1,2.35,16.3,12.1,5,11.7,0,0,,,,,
K. M. A.,1.1,2.42,12,10.1,4,10,0,0,,,,,
AVERAGE YIELD,1.1286125169291121,2.6870319628040886,15.636298874269514,13.872762242913547,6.01223750873515,10.158688891664124,1.3004388654656958,0.29064209459274337,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE ASHANTI REGION - 2011 (Figures in Metric Tons),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,CASSAVA,YAM,COCOYAM,PLANTAIN,G'NUTS,COWPEA,,,,,
Amansie East,4896,941.7239999999999,91921.99999999999,4192,15400,68827.49999999999,0,0,,,,,
 Amansie Central,4968.425,71.205,82076,8824.5,10832.25,40075.200000000004,0,0,,,,,
Amansie West,2979.5,507.27250000000004,41329.2,9593.73,10200,31298.399999999994,0,0,,,,,
Ejura Sekyedumase,23787.950399999998,7711.200000000001,41065.2,159630,135,7209.809999999999,6026.67,1939.2,,,,,
Sekyere West ,21862.783199999994,202,215831.99999999997,109820,13513.5,43884,696,0,,,,,
Sekyere East,13708.8,469.04400000000004,101418.6,47722.5,21516,43469.99999999999,775.7100000000002,282.8,,,,,
Afigya Sekyere,9163,417.384,93384.6,29835,21664.5,40520.25,66,0,,,,,
Ahafo Ano North,12544,1102.415,94899.59999999999,10206,43329,76320,0,43.6,,,,,
Ahafo Ano South,12334.260400000001,2446.22,176504.99999999994,5517.599999999999,59109,75296.24999999999,0,0,,,,,
Atwima Mponua,4351.2,1945.344,78301.3408,6804,35280,80316,0,0,,,,,
Atwima Nwabiagya,6937.487999999999,1203.6000000000001,98615,15180,28600,45643.5,0,0,,,,,
Ejusu Juaben,3564,1638,83520,4643.98,16084.25,34486.2,0,0,,,,,
Bosumtwe-Atwima-Kwanwoma,3999.38,855.6,66633,8392.56,6791.4,31443.3,0,21,,,,,
Kwabre ,1197.9,324.513,76916,2080.6000000000004,18351.431999999997,21735,0,0,,,,,
Offinso,19155.6,803.148,123624,14773.5,9000,64583.99999999999,578.4480000000001,74.97,,,,,
Adansi North,4095.3,781.74,110188,6655,6050,44339.399999999994,0,0,,,,,
Obuasi (Adansi West),928.5994999999999,99.2,5235.839999999999,4284.42,2700,8104.049999999998,0,0,,,,,
Adansi  South (East),3596.6,4282.9800000000005,113574.5,8870.4,15600,30210,0,0,,,,,
Asante Akim North,13471.801200000002,928.8000000000001,83520,10325.734999999999,8316,89178.77292187499,0,25.35,,,,,
Asante Akim South,5814,854.46,116545,3360.775,42925,90657.77174999997,0,0,,,,,
K. M. A.,377.9325,38.72,5338.91526,101.50499999999998,40,9832.499999999998,0,0,,,,,
TOTAL,173734.52019999997,27624.569499999998,1900443.79606,470813.80499999993,385437.332,977431.904671875,8142.828,2386.9199999999996,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA OF MAJOR CROPS IN THE BRONG AHAFO REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,SORGHUM,CASSAVA,YAM,COCOYAM,PLANTAIN,G/NUTS,COWPEA,,,,
Sunyani,37975,,,11687,398,1631,5552,,,,,,
Asutifi,6212,175,,15603,149,14699,18549,,,898,1208,1749,
Wenchi,14784,,108,10533,10181,,965,755,2253,351,148,295,
Dormaa,30000,972,,17420,952,4508,4558,,,,,,
Berekum,11859,,,8279,1230,4633,3397,,,,,,
Tano North,5605,163,,3455,305,1757,4070,,,,,,
Tano South,5872,109,,9044,653,2376,4100,,,2600,,,
Sene,8334,1792,,19947,19655,,,2880,-,,,,
Nkoranza,35685,,95,7486,10557,588,515,1905,2687,4196,,,
Techiman,15780,,,10390,13510,2570,8210,659,980,4805,214,1452,
Asunafo North,5802,132,,4203,98,3701,10410,,,,,,
Asunafo South,5424,97,,13511,108,8795,10670,,,,,,
Jaman North,2871,,,1997,8106,873,521,,,,,,
Jaman South,6025,,,4710,11880,2520,1221,,,32,47,112,
Kintampo North,26004,43,155,4527,8139,213,45,1910,850,,,,
Kintampo South,11384,,,4125,8055,350,51,,,,,,
Atebubu -Amantin,1750,251,125,19462,11534,,10,1424,470,,,,
Pru,3019,106,,9525,12013,,,1594,,,,,
Tain,2266,,147,8999,7950,,57,595,450,,,,
TOTAL,236651,3840,630,184903,125473,49214,72901,11722,7690,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD FOR MAJOR CROPS IN THE BRONG AHAFO REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,SORGHUM,CASSAVA,YAM,COCOYAM,PLANTAIN,G/NUTS,COWPEA,,,,
Sunyani,1.75,,,12,16.7,4.51,12.11,,,,,,
Asutifi,1.82,1.9,,15,11.65,7,16.85,,,5.87,5.7,5.6,
Wenchi,1.95,,1.18,15.89,17.15,4.2,7.58,0.8,0.85,11,8,3.8,
Dormaa,1.8,1.25,,14.5,10,5.5,10.2,,,,,,
Berekum,1.97,,,16.4,12.45,6.89,9.74,,,,,,
Tano North,1.82,2.21,,18.69,12.34,6.32,12.44,,,,,,
Tano South,1.85,2.02,,17.86,13,6.3,12.02,,,12,,,
Sene,1.74,1.63,,14.4,18,-,,1.08,,,,,
Nkoranza,1.8,,1,18.2,18,4.1,7.2,0.9,0.8,10,,,
Techiman,2.01,,,17.68,20.34,5.89,9.98,0.89,1.09,11.1,7.9,1.53,
Asunafo North,1.74,1.3,,15.44,13.85,7.63,18.21,,,,,,
Asunafo South,1.62,1.33,,15.37,13.7,7.54,19.3,,,,,,
Jaman North,1.72,,,15.2,15,7.05,9,,,,,,
Jaman South,1.82,,,15.2,14.73,6.98,8.5,,,4.6,2.32,3.6,
Kintampo North,1.95,1.82,1.1,14.3,18,5,6.8,1.32,1.2,,,,
Kintampo South,1.82,,,18.62,21.14,5.5,7.96,,,,,,
Atebubu -Amantin,2,1.85,1.11,17.06,14.52,,0.8,1.52,1.25,,,,
Pru,1.74,1.68,,15.8,17.8,,,1.43,,,,,
Tain,1.9,,1.2,13.5,17,,6.5,1.2,1.2,,,,
AVERAGE YIELD,1.8370532978943679,1.6041067708333334,1.123952380952381,15.59386581072238,17.305247184653272,6.743457146340471,14.48309008106885,1.1682741852926122,0.9467295188556566,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE BRONG AHAFO REGION - 2011 (Figures in Metric Tons),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,SORGHUM,CASSAVA,YAM,COCOYAM,PLANTAIN,G/NUTS,COWPEA,,,,
Sunyani,66456.25,,,140244,6646.599999999999,7355.8099999999995,67234.72,,,,,,
Asutifi,11305.84,332.5,,234045,1735.8500000000001,102893,312550.65,,,,,,
Wenchi,28828.8,,127.44,167369.37,174604.15,,,604,1915.05,,,,
Dormaa,54000,1215,,252590,9520,24794,46491.6,,,,,,
Berekum,23362.23,,,135775.59999999998,15313.5,31921.37,33086.78,,,,,,
Tano North,10201.1,360.23,,64573.950000000004,3763.7,11104.24,50630.799999999996,,,,,,
Tano South,10863.2,220.18,,161525.84,8489,14968.8,49282,,,,,,
Sene,14501.16,3010.56,,287236.8,353790,,,3110.4,,,,,
Nkoranza,64233,,95,136245.19999999998,190026,2410.7999999999997,3708,1714.5,2149.6,,,,
Techiman,31717.799999999996,,,183695.19999999998,274793.4,15137.3,81935.8,586.51,1068.2,,,,
Asunafo North,10095.48,171.6,,64894.32,1357.3,28238.63,189566.1,,,,,,
Asunafo South,8786.880000000001,129.01000000000002,,207664.06999999998,1479.6,66314.3,205931,,,,,,
Jaman North,4938.12,,,30354.399999999998,121590,6154.65,4689,,,,,,
Jaman South,10965.5,,,71592,174992.4,17589.600000000002,10378.5,,,,,,
Kintampo North,50707.799999999996,78.26,170.5,64736.100000000006,146502,1065,,2521.2000000000003,1020,,,,
Kintampo South,20718.88,,,76807.5,170282.7,1925,346.8,,,,,,
Atebubu -Amantin,3500,464.35,138.75,332021.72,167473.68,,,2164.48,587.5,,,,
Pru,5253.06,178.07999999999998,,150495,213831.4,,,2279.42,,,,,
Tain,4305.4,,176.4,121486.5,135150,,,714,540,,,,
TOTAL,434740.50000000006,6159.77,708.09,2883352.5700000003,2171341.28,331872.49999999994,1055831.7500000002,13694.51,7280.349999999999,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA OF MAJOR CROPS IN THE NORTHERN REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,MILLET,SORGHUM,CASSAVA,YAM,G/NUTS,COWPEA,SOYABEAN,,,,
Bole,5523,657,1900,2300,2410,4296,1634,1325,1100,,,,
Bunkpurugu/Yunyoo,2125,295,1600,2350,600,2150,3670,3350,3341,,,,
Central Gonja,3850,1135,1100,850,6510,6500,5780,836.0000000000001,715,,,,
East Gonja,8450,4534,10,2100,6500,19400,8200,6800,1365,,,,
East Mamprusi,2610,1150,4250,2400,1500,6350,6500,4015.0000000000005,4000,,,,
Gushiegu,6044,2645,2700,2910,4500,3152,4850,2780,5083,,,,
Karaga,5314,2084,2700,4650,2400,1936,4230,2805,6773,,,,
Nanumba North,4620,789,2100,3800,9300,13200,6870,1120,4303,,,,
Nanumba South,4300,1313,1000,3000,6400,13400,4680,1650.0000000000002,4986,,,,
Saboba/Cheriponi,3199.5,1468,3200,6800,1200,6856,5950,3000,1950,,,,
Savelugu/Nanton,10123,11350.5,2800,3450,3000,7430,10560,6732.000000000001,6010,,,,
Sawla/Tuna/Kalba,15992.121600000002,1354,4800,7510,1400,10561,7125.2,2215,484.99,,,,
Tamale Metro,10512,18055,1700,1940,2800,7150,8542.8,3806.0000000000005,1833,,,,
Tolon/Kumbungu,15600,14243,2500,7270,6000,4110,10113.499999999998,3201.0000000000005,1978,,,,
West Gonja,8850,1230,3260,5320,22000,7950,9456,5672,697.3,,,,
West Mamprusi,6540,5416.5,7900,4610,3000,6150,13559.999999999998,4983,3800,,,,
Yendi,10870,3555,6250,2010,3800,8400,12429.999999999998,7524.000000000001,11412,,,,
Zabzugu/Tatale,10200,2115,4900,7510,6000,9562,6200,730,600,,,,
TOTAL,134722.6216,73389,54670,70780,89320,138553,130351.5,62544,60431.29,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD AREA OF MAJOR CROPS IN THE NORTHERN REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,MILLET,SORGHUM,CASSAVA,YAM,G/NUTS,COWPEA,SOYABEAN,,,,
Bole,1.4400000000000002,1.54,1.05,1.62,12.34,13.1,1.45,1.45,1.32,,,,
Bunkpurugu/Yunyoo,1.2,1.32,1.64,1.52,11.67,7.1,1.23,2,1.91,,,,
Central Gonja,1.41,1.84,1.08,2,15,10.45,1.23,2.53,2.32,,,,
East Gonja,1.52,2.1,1.63,2.34,14.5,13.4,2.4,2.06,2.12,,,,
East Mamprusi,1.2,1.43,1.33,1.65,9.75,12.2,1.56,1.87,1.52,,,,
Gushiegu,1.32,2.67,1.35,1.84,13.8,9.1,1.72,1.8256000000000001,1.96,,,,
Karaga,1.4,1.9,1.155,1.5,14,13.4,1.19,1.48,1.5,,,,
Nanumba North,1.5,1.34,1.43,2.13,18,18.34,1.73,1.94,2.03,,,,
Nanumba South,1.5,1.43,1.45,3.32,18,18.24,1.49,1.86,2.74,,,,
Saboba/Cheriponi,1.4,2.3,1.4,1.8,9.45,13.45,1.74,1.65,1.78,,,,
Savelugu/Nanton,1.22,2.6,1.45,1.55,7.1,12.3,2.5,2.4,2.15,,,,
Sawla/Tuna/Kalba,1.92,1.93,1.13,1.6,13,15.34,1.3,1.6,1.84,,,,
Tamale Metro,1.24,2.5,1.275,2,6,9.3,1.9,1.67,1.9,,,,
Tolon/Kumbungu,1.4400000000000002,2.54,1.7,1.9,12.34,13.34,1.82,2,2.06,,,,
West Gonja,1.2,1.7,1.74,1.8,19,22.34,1.74,2,2.23,,,,
West Mamprusi,1.3,2.53,1.24,1.74,7.86,8.2455,1.23,1.43,1.5,,,,
Yendi,1.31,2,1.38,1.6,11.1,17.34,1.59,2.78,2.84,,,,
Zabzugu/Tatale,1.52,1.4,2.43,1.9,14.4,15.34,2.4,1.65,1.94,,,,
AVERAGE YIELD,1.4296345423254442,2.3340482224856585,1.4463910737150174,1.845638598474145,14.928419167039856,14.475380865084118,1.7220852080720208,1.994123784855462,2.0958702122691735,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION FOR MAJOR CROPS IN THE NORTHERN REGION - 2011 (Figures in Metric Tonnes),,,,,,,,,,,,,
DISTRICT,MAIZE,RICE,MILLET,SORGHUM,CASSAVA,YAM,G/NUTS,COWPEA,SOYABEAN,,,,
Bole,7953.120000000001,1011.78,1995,3726.0000000000005,29739.4,56277.6,2369.2999999999997,1921.25,1452,,,,
Bunkpurugu/Yunyoo,2550,389.40000000000003,2624,3572,7002,15265,4514.1,6700,6381.3099999999995,,,,
Central Gonja,5428.5,2088.4,1188,1700,97650,67925,7109.4,2115.08,1658.8,,,,
East Gonja,12844,9521.4,16.299999999999997,4914,94250,259960,19680,14008,2893.8,,,,
East Mamprusi,3132,1644.5,5652.5,3960,14625,77470,10140,7508.050000000001,6080,,,,
Gushiegu,7978.08,7062.15,3645.0000000000005,5354.400000000001,62100,28683.199999999997,8342,5075.168000000001,9962.68,,,,
Karaga,7439.599999999999,3959.6,3118.5,6975,33600,25942.4,5033.7,4151.4,10159.5,,,,
Nanumba North,6930,1057.26,3003,8094,167400,242088,11885.1,2172.7999999999997,8735.089999999998,,,,
Nanumba South,6450,1877.59,1450,9960,115200,244415.99999999997,6973.2,3069.0000000000005,13661.640000000001,,,,
Saboba/Cheriponi,4479.299999999999,3376.3999999999996,4480,12240,11340,92213.2,10353,4950,3471,,,,
Savelugu/Nanton,12350.06,29511.3,4060,5347.5,21300,91389,26400,16156.800000000001,12921.5,,,,
Sawla/Tuna/Kalba,30704.873472000003,2613.22,5423.999999999999,12016,18200,162005.74,9262.76,3544,892.3816,,,,
Tamale Metro,13034.88,45137.5,2167.5,3880,16800,66495,16231.319999999998,6356.02,3482.7,,,,
Tolon/Kumbungu,22464.000000000004,36177.22,4250,13813,74040,54827.4,18406.569999999996,6402.000000000001,4074.6800000000003,,,,
West Gonja,10620,2091,5672.4,9576,418000,177603,16453.44,11344,1554.9789999999998,,,,
West Mamprusi,8502,13703.744999999999,9796,8021.4,23580,50709.825,16678.8,7125.69,5700,,,,
Yendi,14239.7,7110,8625,3216,42180,145656,19763.699999999997,20916.72,32410.079999999998,,,,
Zabzugu/Tatale,15504,2961,11907,14269,86400,146681.08,14880,1204.5,1164,,,,
Total,192604.11347200003,171293.465,79074.2,130634.29999999999,1333406.4,2005607.4449999998,224476.39,124720.47800000002,126656.14059999998,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA FOR MAJOR CROPS IN THE UPPER WEST REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,MILLET,SORGHUM,YAM,G/NUTS,COWPEA,SOYABEAN,,,,,
Wa West,5440,1522.5,6838.095238095238,6461.53846153846,5026.6,19030,4608,4460,,,,,
Wa East,8730,787.5,6476.190476190476,3920,5293.6,12495,5292,4720,,,,,
Wa Municipal,7580,462,6600,6107.692307692308,4641.4,15320,4296,4730,,,,,
Lawra,5380,115.5,12190.47619047619,39495.9090909091,0,15790.2,4680,188,,,,,
Sissala East,10560,206,4342.857142857143,985,2651,10980,10368,157,,,,,
Sissala West,9340,378,4619.047619047619,8492.30769230769,2580,7850,11100,170,,,,,
Jirapa-Lambussie,7420,1095,13754,17853,1275,21320,11959.5,399,,,,,
Nadowli,12900,262.5,9085.714285714286,18123.076923076922,4834,29820,23652,806,,,,,
TOTAL,67350,4829,63906.38095238095,101438.52447552448,26301.6,132605.2,75955.5,15630,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD FOR MAJOR CROPS IN THE UPPER WEST REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,MILLET,SORGHUM,YAM,G/NUTS,COWPEA,SOYABEAN,,,,,
Wa West,1.2,1.6,0.4,0.7,11,1.4,1,1.3,,,,,
Wa East,1.2,1.5,0.75,0.8,20,1.1,0.9,1,,,,,
Wa Municipal,1.25,1.3,1.0434782608695652,0.9,23.8,1.2,1.3,1.2,,,,,
Lawra,0.7,1.3,1.2,0.8800000000000001,0,1.4,1.3,0.8,,,,,
Sissala East,1.4,1.8,1.7,1.2,12.5,1.3,1.1,1.5,,,,,
Sissala West,1.3,1,0.9,0.8,15,1.6,1.1,1.6,,,,,
Jirapa-Lambussie,1,1,0.4,0.5384615384615384,14,1.3,1,0.6,,,,,
Nadowli,1.4,1.2,0.9,0.8461538461538461,23,0.9,1.2,0.8,,,,,
AVERAGE YIELD,1.2271863400148477,1.3515841789190308,0.8500974542794905,0.7968995178169028,17.96466450710223,1.2236683026005013,1.119027588522227,1.1347472808701218,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE UPPER WEST REGION - 2011 (Figures in Mt),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,MILLET,SORGHUM,YAM,G/NUTS,COWPEA,SOYABEAN,,,,,
Wa West,6528,2436,2735.2380952380954,4523.076923076922,55292.600000000006,26642,4608,5798,,,,,
Wa East,10476,1181.25,4857.142857142857,3136,105872,13744.500000000002,4762.8,4720,,,,,
Wa Municipal ,9475,600.6,6886.95652173913,5496.923076923077,110465.31999999999,18384,5584.8,5676,,,,,
Lawra,3765.9999999999995,150.15,14628.57142857143,34756.400000000016,0,22106.28,6084,150.4,,,,,
Sisala East,14783.999999999998,370.8,7382.857142857143,1182,33137.5,14274,11404.800000000001,235.5,,,,,
Sisala West,12142,378,4157.142857142858,6793.846153846152,38700,12560,12210.000000000002,272,,,,,
Jirapa-Lambussie,7420,1095,5501.6,9613.153846153846,17850,27716,11959.5,239.39999999999998,,,,,
Nadowli,18060,315,8177.142857142858,15334.91124260355,111182,26838,28382.399999999998,644.8000000000001,,,,,
TOTAL,82651,6526.8,54326.65175983436,80836.31124260355,472499.42,162264.78,84996.3,17736.100000000002,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CROPPED AREA OF MAJOR CROPS IN THE UPPER EAST REGION - 2011 (Figures in Hectares),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,MILLET,SORGHUM,G/NUTS,COWPEA,SOYABEAN,SWEET POTATO,,,,,
BUILSA,4110,10200,8850,9280,9200,3440,420,900,,,,,
KASSENA NANKANA,5020,11840,11000,15060,14290,1670,560,110,,,,,
BOLGA,2600,5760,4540,4420,10350,3200,920,950,,,,,
BAWKU MUNICIPAL,12420,6500,11750,8690,16010,3440,7850,1030,,,,,
BAWKU WEST,6850,6480,8520,11620,9460,4580,3230,520,,,,,
BONGO,710,4150,3530,5460,6350,1560,240,940,,,,,
GARU TEMPANE,7300,4340,7640,7800,5850,5500,1900,480,,,,,
TALENSI NABDAM,4360,1810,4270,3900,4330,2490,2060,610,,,,,
TOTAL,43370,51080,60100,66230,75840,25880,5540,5540,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AVERAGE YIELD AREA OF MAJOR CROPS IN THE UPPER EAST REGION - 2011 (Figures in Mt/Ha),,,,,,,,,,,,,
DISTRICTS ,MAIZE,RICE,MILLET,SORGHUM,G/NUTS,COWPEA,SOYABEAN,SWEET POTATO,,,,,
BUILSA,1.25,2.5,0.89,1,1.2,0.4,0.5,8,,,,,
KASSENA/NANKANA,1.6,2.8,0.8,1.42,0.5,0.6,0.5,12,,,,,
BOLGA,2.29,0.68,0.97,1.01,0.79,0.46,0.46,5,,,,,
BAWKU MUNICIPAL,2.3,2,1,0.8,0.7,0.6,1.1,10.8,,,,,
BAWKU WEST,1.3,2.6,0.9,0.98,0.9,1,0.54,6.2,,,,,
BONGO,1.06,1.9,0.68,0.73,0.64,1,1,7.2,,,,,
GARU TEMPANE,1.5,1.4,0.64,0.95,0.35,0.52,0.64,8.5,,,,,
TALENSI/NABDAM,1.6,1.7,0.64,1.2,1,0.4,1.15,8.8,,,,,
Regional Average,1.735602951348859,2.1428112764291307,0.8406173044925126,1.0500498263626756,0.7453059071729958,0.6147604327666152,2.7287725631768955,7.912274368231047,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRODUCTION OF MAJOR CROPS IN THE UPPER EAST REGION - 2011 (Figures in Mt),,,,,,,,,,,,,
DISTRICTS,MAIZE,RICE,MILLET,SORGHUM,G/NUTS,COWPEA,SOYABEAN,SWEET POTATO,,,,,
BUILSA,5137.5,25500,7876.5,9280,11040,1376,210,7200,,,,,
KASSENA NANKANA,8032,33152,8800,21385.2,7145,1002,280,1320,,,,,
BOLGA,5954,3916.8,4403.8,4464.2,8176.5,1472,423.20000000000005,4750,,,,,
BAWKU MUNICIPAL,28565.999999999996,13000,11750,6952,11207,2064,8635,11124,,,,,
BAWKU WEST,8905,16848,7668,11387.6,8514,4580,1744.2,3224,,,,,
BONGO,752.6,7885,2400.4,3985.7999999999997,4064,1560,240,6768,,,,,
GARU TEMPANE,10950,6076,4889.6,7410,2047.4999999999998,2860,1216,4080,,,,,
TALENSI NABDAM,6976,3077,2732.8,4680,4330,996,2369,5368,,,,,
TOTAL,75273.1,109454.8,50521.100000000006,69544.8,56524,15910,15117.400000000001,43834,,,,,
