mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21664209365844728,0.03628183159361571,0.012529659271240234,0.0008373678453306949,20,0.45,1,2,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1441289391.4817986,-22490204056.772133,-4182207653.143164,-5567647.919010515,-6208123320.098385,-6865478413.882898,8102398550.775559,63
0.4883260250091553,0.040310452989522884,0.022165346145629882,0.0041737705735120844,20,0.45,1,2,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1364446307.067413,-21608216225.8585,-4388095663.820268,-15043631.384338463,-6019846576.846947,-6679129680.995493,7761662429.982498,55
0.2411712646484375,0.03683702609015189,0.022486495971679687,0.018222510252233846,20,0.45,1,5,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1491249390.497214,-21492035773.58307,-3386154717.3517227,-6509379.926809445,-7334049109.57243,-6741999674.18625,7773197423.036234,59
0.447176456451416,0.044893313889550146,0.025507545471191405,0.006040148567680517,20,0.45,1,5,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1273903353.6021955,-21095468162.874744,-3998503787.4604573,-21121131.932773005,-6463087892.659335,-6570416865.705901,7596705885.687657,49
0.24960918426513673,0.02234865879433773,0.01106886863708496,0.0011855856809440764,20,0.45,2,2,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1127818519.9817839,-20830260711.655334,-2930198359.677046,-25065751.421378624,-7300783040.429727,-6442825276.633054,7609334687.419282,39
0.42492213249206545,0.08220718337383218,0.01963486671447754,0.002645556582162151,20,0.45,2,2,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-1073059766.5500327,-20717970559.93009,-3687532430.6166916,-30036986.9404126,-6510224459.920533,-6403764840.791553,7501020742.137833,33
0.24342780113220214,0.027944116417778397,0.014125967025756836,0.005861201397091314,20,0.45,2,5,100,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1088343470.9802394,-20531650872.5369,-2677998581.470827,-36216551.42247007,-7308699276.188649,-6328581750.519817,7524207830.040653,27
0.4278711318969727,0.09293089597184949,0.019968032836914062,0.0011705164159554005,20,0.45,2,5,200,"{'max_depth': 20, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1108658159.1440299,-20382567023.018257,-3331387289.0386925,-43105952.17045087,-6586803776.629902,-6290504440.000267,7393401303.836546,19
0.24791717529296875,0.0296320353096592,0.022634315490722656,0.01871752176207325,20,0.5,1,2,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.4512799263000488,0.07004643594793826,0.020969963073730467,0.0019073398029599846,20,0.5,1,2,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
0.24965176582336426,0.030821721838087717,0.01284184455871582,0.0038710256268786056,20,0.5,1,5,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.41878342628479004,0.05811382872859349,0.019558477401733398,0.0018566310257911239,20,0.5,1,5,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.21888184547424316,0.024560671856412558,0.011185503005981446,0.0019012670873039229,20,0.5,2,2,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.5025879383087158,0.1128186450072341,0.02566366195678711,0.01013857229425646,20,0.5,2,2,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.23425660133361817,0.03313943751568112,0.014845180511474609,0.00741033231104482,20,0.5,2,5,100,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.4911365985870361,0.08174924546723215,0.020572996139526366,0.0032543421713007387,20,0.5,2,5,200,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1056431308.3468853,-20173514735.02011,-3311904333.846289,-47086110.094118066,-6390700593.740659,-6195927416.209612,7320534715.931484,5
0.25209813117980956,0.0231606750929078,0.012847900390625,0.0019399567487556988,20,0.55,1,2,100,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.46005706787109374,0.0626782629760553,0.024098730087280272,0.010244098567460457,20,0.55,1,2,200,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
0.2193681240081787,0.03194506179090883,0.011105871200561524,0.0007592859947591065,20,0.55,1,5,100,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.47953200340270996,0.08370092060476689,0.019231033325195313,0.001411398144430241,20,0.55,1,5,200,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.2397735595703125,0.03216195923223803,0.013929796218872071,0.005391081555197731,20,0.55,2,2,100,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.46051654815673826,0.08092831807111804,0.020116281509399415,0.0018870976321584436,20,0.55,2,2,200,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.23297739028930664,0.026164917183416344,0.012125444412231446,0.003041066715315853,20,0.55,2,5,100,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.48450522422790526,0.05963937142097506,0.021062374114990234,0.004782195630415434,20,0.55,2,5,200,"{'max_depth': 20, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1056431308.3468853,-20173514735.02011,-3311904333.846289,-47086110.094118066,-6390700593.740659,-6195927416.209612,7320534715.931484,5
0.23670849800109864,0.0262593398745753,0.01204075813293457,0.0021981167334917395,20,sqrt,1,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1436277349.3346846,-22120087054.98581,-4353416383.307542,-17224202.135899197,-5915097402.260791,-6768420478.404945,7952917367.101554,61
0.4528208255767822,0.035791454692301765,0.019472932815551756,0.0011256183818780564,20,sqrt,1,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1205855113.4610317,-21626093809.26682,-4576893122.951473,-18962372.045483664,-6164788159.995425,-6718518515.544046,7776920831.169901,57
0.2629678249359131,0.04022263199394242,0.013596773147583008,0.002618745535522337,20,sqrt,1,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1574354026.9566066,-19814917313.59829,-4071062575.933166,-51971744.74398128,-6011219594.622124,-6304705051.170834,7057960362.736828,23
0.4355576992034912,0.032710018757727444,0.025327396392822266,0.0072414158992551115,20,sqrt,1,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1247106931.931678,-20276818561.158978,-4030007873.9125667,-50789844.79705876,-5983900752.943787,-6317724792.948813,7282678424.286571,25
0.235933256149292,0.022687255799275666,0.017926406860351563,0.010588001055115181,20,sqrt,2,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1100548691.8126605,-21024974016.20994,-3099241473.7676144,-46163585.796834044,-6477032135.433448,-6349591980.604099,7658113635.581634,29
0.4900951385498047,0.10364656773338403,0.020393228530883788,0.0009976708739096267,20,sqrt,2,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-927440534.4470415,-21208801786.52403,-3339410101.3333535,-50315599.772352345,-6266173743.994437,-6358428353.214243,7732328089.580773,31
0.26299300193786623,0.038441246791344356,0.013612794876098632,0.00228049107707978,20,sqrt,2,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1090994553.8935554,-20547944122.593906,-2971899755.307869,-60142696.314953305,-6406398722.915425,-6215475970.205141,7484989231.754051,9
0.4329663276672363,0.041046372160227405,0.022082042694091798,0.005030562288243963,20,sqrt,2,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1003387439.5118967,-20918523191.400402,-3260922250.9646034,-64144614.76721919,-6216676102.522648,-6292730719.833354,7614248347.977239,21
0.20640807151794432,0.017513653117386393,0.015838146209716797,0.007131630056128893,30,0.45,1,2,100,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1441289391.4817986,-22490204056.772133,-4182207653.143164,-5567647.919010515,-6208123320.098385,-6865478413.882898,8102398550.775559,63
0.4669443130493164,0.0737697527773813,0.019623851776123045,0.0016099486634710434,30,0.45,1,2,200,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1364446307.067413,-21608216225.8585,-4388095663.820268,-15043631.384338463,-6019846576.846947,-6679129680.995493,7761662429.982498,55
0.296741247177124,0.046726502820974576,0.012969303131103515,0.0022634932299103005,30,0.45,1,5,100,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1491249390.497214,-21492035773.58307,-3386154717.3517227,-6509379.926809445,-7334049109.57243,-6741999674.18625,7773197423.036234,59
0.4147155284881592,0.042222460241642855,0.02214655876159668,0.003509155514154459,30,0.45,1,5,200,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1273903353.6021955,-21095468162.874744,-3998503787.4604573,-21121131.932773005,-6463087892.659335,-6570416865.705901,7596705885.687657,49
0.23291521072387694,0.023496939363031263,0.012166404724121093,0.001612602285746907,30,0.45,2,2,100,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1127818519.9817839,-20830260711.655334,-2930198359.677046,-25065751.421378624,-7300783040.429727,-6442825276.633054,7609334687.419282,39
0.4706274509429932,0.07280662763197451,0.0238797664642334,0.004500423661851261,30,0.45,2,2,200,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-1073059766.5500327,-20717970559.93009,-3687532430.6166916,-30036986.9404126,-6510224459.920533,-6403764840.791553,7501020742.137833,33
0.2405731201171875,0.04141171610514905,0.011702156066894532,0.0007567482408881131,30,0.45,2,5,100,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1088343470.9802394,-20531650872.5369,-2677998581.470827,-36216551.42247007,-7308699276.188649,-6328581750.519817,7524207830.040653,27
0.49347529411315916,0.08963251663101712,0.023837566375732422,0.008387687164724916,30,0.45,2,5,200,"{'max_depth': 30, 'max_features': 0.45, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1108658159.1440299,-20382567023.018257,-3331387289.0386925,-43105952.17045087,-6586803776.629902,-6290504440.000267,7393401303.836546,19
0.30501570701599123,0.03739363191579292,0.019565296173095704,0.01446320101090138,30,0.5,1,2,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.44466824531555177,0.04366888393650116,0.025194120407104493,0.01188269370350108,30,0.5,1,2,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
0.3018381595611572,0.039811206500983715,0.013186120986938476,0.0022355466867939387,30,0.5,1,5,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.4640925884246826,0.04960811956747164,0.021285533905029297,0.002712789182934979,30,0.5,1,5,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.2617378234863281,0.04645695519007107,0.012438058853149414,0.001223816644894903,30,0.5,2,2,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.48675031661987306,0.07713879653439724,0.0238523006439209,0.0035470879833569965,30,0.5,2,2,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.25802173614501955,0.05599216594419655,0.012399816513061523,0.0014981473983504351,30,0.5,2,5,100,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.42980422973632815,0.024770646268137325,0.02181401252746582,0.0017018337321891928,30,0.5,2,5,200,"{'max_depth': 30, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1056431308.3468853,-20173514735.02011,-3311904333.846289,-47086110.094118066,-6390700593.740659,-6195927416.209612,7320534715.931484,5
0.24308648109436035,0.02329589893116538,0.017452764511108398,0.009991417413025137,30,0.55,1,2,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,51
0.4721874713897705,0.08400476782487436,0.02491030693054199,0.01045246840162612,30,0.55,1,2,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1446959919.2626016,-20344044797.53158,-4626653914.920903,-22529785.263320506,-5634613173.70338,-6414960318.136357,7257693462.423889,35
0.2602097511291504,0.03865651353313061,0.011233901977539063,0.0017397453583275625,30,0.55,1,5,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,45
0.46562838554382324,0.07989726007298001,0.023218774795532228,0.0019732211187582028,30,0.55,1,5,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1377384528.0976336,-20827051601.73424,-3994684634.664564,-50342159.25124363,-6189186369.171962,-6487729858.583929,7476311129.768525,41
0.268106746673584,0.045474136389482105,0.013528966903686523,0.002542746017167235,30,0.55,2,2,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1034475668.2944556,-20046845573.17081,-2885074176.5811615,-52516519.574876405,-7429633549.478822,-6289709097.420025,7330345426.523299,15
0.4350730895996094,0.03330918685942518,0.021413135528564452,0.0034532085906550476,30,0.55,2,2,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,11
0.28048200607299806,0.04082143579820953,0.015576839447021484,0.006322674486026969,30,0.55,2,5,100,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.4440423011779785,0.05318731664563334,0.02157907485961914,0.0021126760304473182,30,0.55,2,5,200,"{'max_depth': 30, 'max_features': 0.55, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1056431308.3468853,-20173514735.02011,-3311904333.846289,-47086110.094118066,-6390700593.740659,-6195927416.209612,7320534715.931484,5
0.2832807064056396,0.04521024859544882,0.012093257904052735,0.0015879925000088098,30,sqrt,1,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-1436277349.3346846,-22120087054.98581,-4353416383.307542,-17224202.135899197,-5915097402.260791,-6768420478.404945,7952917367.101554,61
0.4494577407836914,0.0700528093883073,0.022619247436523438,0.004141042528573188,30,sqrt,1,2,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1205855113.4610317,-21626093809.26682,-4576893122.951473,-18962372.045483664,-6164788159.995425,-6718518515.544046,7776920831.169901,57
0.23944435119628907,0.0527859612063149,0.011989259719848632,0.0006421976497002632,30,sqrt,1,5,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1574354026.9566066,-19814917313.59829,-4071062575.933166,-51971744.74398128,-6011219594.622124,-6304705051.170834,7057960362.736828,23
0.440277624130249,0.028371768677864374,0.020409059524536134,0.0012701996991523758,30,sqrt,1,5,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1247106931.931678,-20276818561.158978,-4030007873.9125667,-50789844.79705876,-5983900752.943787,-6317724792.948813,7282678424.286571,25
0.22692503929138183,0.026159082317268174,0.012109613418579102,0.0011398476010012338,30,sqrt,2,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1100548691.8126605,-21024974016.20994,-3099241473.7676144,-46163585.796834044,-6477032135.433448,-6349591980.604099,7658113635.581634,29
0.45261578559875487,0.040468880484862746,0.018855571746826172,0.0008340164750124405,30,sqrt,2,2,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-927440534.4470415,-21208801786.52403,-3339410101.3333535,-50315599.772352345,-6266173743.994437,-6358428353.214243,7732328089.580773,31
0.2610351085662842,0.03572162724611521,0.01413898468017578,0.0018902889408429556,30,sqrt,2,5,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1090994553.8935554,-20547944122.593906,-2971899755.307869,-60142696.314953305,-6406398722.915425,-6215475970.205141,7484989231.754051,9
0.4412436008453369,0.025788807381996955,0.01996603012084961,0.0010502417008780235,30,sqrt,2,5,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1003387439.5118967,-20918523191.400402,-3260922250.9646034,-64144614.76721919,-6216676102.522648,-6292730719.833354,7614248347.977239,21
